91.4634,2022-08-22 15:25:10.291699
91.1834,2022-08-22 15:25:10.791699
91.8788,2022-08-22 15:25:11.291699
91.1772,2022-08-22 15:25:11.791699
89.7992,2022-08-22 15:25:12.291699
90.3571,2022-08-22 15:25:12.791699
92.0227,2022-08-22 15:25:13.291699
91.9105,2022-08-22 15:25:13.791699
91.141,2022-08-22 15:25:14.291699
91.9571,2022-08-22 15:25:14.791699
91.8744,2022-08-22 15:25:15.291699
90.1645,2022-08-22 15:25:15.791699
89.8047,2022-08-22 15:25:16.291699
91.6464,2022-08-22 15:25:16.791699
93.1426,2022-08-22 15:25:17.291699
93.4519,2022-08-22 15:25:17.791699
92.3365,2022-08-22 15:25:18.291699
91.5574,2022-08-22 15:25:18.791699
92.0669,2022-08-22 15:25:19.291699
92.2745,2022-08-22 15:25:19.791699
92.7285,2022-08-22 15:25:20.291699
94.4017,2022-08-22 15:25:20.791699
95.7123,2022-08-22 15:25:21.291699
95.2184,2022-08-22 15:25:21.791699
95.2685,2022-08-22 15:25:22.291699
96.3945,2022-08-22 15:25:22.791699
96.8731,2022-08-22 15:25:23.291699
97.1613,2022-08-22 15:25:23.791699
97.054,2022-08-22 15:25:24.291699
97.7903,2022-08-22 15:25:24.791699
98.6842,2022-08-22 15:25:25.291699
98.6842,2022-08-22 15:25:25.791699
98.8201,2022-08-22 15:25:26.291699
99.1469,2022-08-22 15:25:26.791699
99.3377,2022-08-22 15:25:27.291699
99.3377,2022-08-22 15:25:27.791699
99.3377,2022-08-22 15:25:28.291699
99.1469,2022-08-22 15:25:28.791699
98.9404,2022-08-22 15:25:29.291699
99.0789,2022-08-22 15:25:29.791699
98.9587,2022-08-22 15:25:30.291699
99.3053,2022-08-22 15:25:30.791699
99.7168,2022-08-22 15:25:31.291699
99.4225,2022-08-22 15:25:31.791699
99.7811,2022-08-22 15:25:32.291699
101.133,2022-08-22 15:25:32.791699
102.041,2022-08-22 15:25:33.291699
101.37200000000001,2022-08-22 15:25:33.791699
100.954,2022-08-22 15:25:34.291699
101.27799999999999,2022-08-22 15:25:34.791699
101.495,2022-08-22 15:25:35.291699
101.839,2022-08-22 15:25:35.791699
102.041,2022-08-22 15:25:36.291699
102.041,2022-08-22 15:25:36.791699
102.041,2022-08-22 15:25:37.291699
